id,Site,Area,d13C,d15N
Aqco 16,Aquihueco,NWnqn_new,-17.6,7.5
Aqco 19.1,Aquihueco,NWnqn_new,-18.2,7.5
Aqco 19.2,Aquihueco,NWnqn_new,-18,8.2
Aqco 23,Aquihueco,NWnqn_new,-17.9,10.2
Aqco 26,Aquihueco,NWnqn_new,-18,7.4
Aqco 30,Aquihueco,NWnqn_new,-17.9,10
Aqco 31,Aquihueco,NWnqn_new,-18.1,7.3
Aqco 38,Aquihueco,NWnqn_new,-17.9,9.9
Aqco 41,Aquihueco,NWnqn_new,-18.38,10.01
Aqco 42,Aquihueco,NWnqn_new,-18.63,7.14
Aqco 43,Aquihueco,NWnqn_new,-18.08,11.13
Aqco Ent I,Aquihueco,NWnqn_new,-19.01,8.75
Aqco Ent IV ind 1,Aquihueco,NWnqn_new,-18.2,8.85
Aqco Ent VI,Aquihueco,NWnqn_new,-18.58,8.48
Aqco Ent VII,Aquihueco,NWnqn_new,-18.43,10.49
HL C1 I2,Hermanos Lazcano,NWnqn_new,-18.1,6.5
HL C2 I1,Hermanos Lazcano,NWnqn_new,-18.5,6.7
HL C2 I3,Hermanos Lazcano,NWnqn_new,-17.98,8.62
HL C4I1,Hermanos Lazcano,NWnqn_new,-18.7,6.1
HL Ent5 C1A,Hermanos Lazcano,NWnqn_new,-18.6,6.9
HL II 3 3,Hermanos Lazcano,NWnqn_new,-18.4,7.3
